| ÉPOCA: | 176 | ERRO DE APROXIMAÇÃO: | 26.792194967635695
| ÉPOCA: | 177 | ERRO DE APROXIMAÇÃO: | 26.643389425136366
| ÉPOCA: | 178 | ERRO DE APROXIMAÇÃO: | 26.496239253737507
| ÉPOCA: | 179 | ERRO DE APROXIMAÇÃO: | 26.350716975908274
| ÉPOCA: | 180 | ERRO DE APROXIMAÇÃO: | 26.206795718359327
| ÉPOCA: | 181 | ERRO DE APROXIMAÇÃO: | 26.064449195543965
| ÉPOCA: | 182 | ERRO DE APROXIMAÇÃO: | 25.923651693696044
| ÉPOCA: | 183 | ERRO DE APROXIMAÇÃO: | 25.784378055383918
| ÉPOCA: | 184 | ERRO DE APROXIMAÇÃO: | 25.6466036645631
| ÉPOCA: | 185 | ERRO DE APROXIMAÇÃO: | 25.510304432106448
| ÉPOCA: | 186 | ERRO DE APROXIMAÇÃO: | 25.37545678179611
| ÉPOCA: | 187 | ERRO DE APROXIMAÇÃO: | 25.24203763675981
| ÉPOCA: | 188 | ERRO DE APROXIMAÇÃO: | 25.110024406333707
| ÉPOCA: | 189 | ERRO DE APROXIMAÇÃO: | 24.97939497333829
| ÉPOCA: | 190 | ERRO DE APROXIMAÇÃO: | 24.85012768175136
| ÉPOCA: | 191 | ERRO DE APROXIMAÇÃO: | 24.722201324763276
| ÉPOCA: | 192 | ERRO DE APROXIMAÇÃO: | 24.595595133200923
| ÉPOCA: | 193 | ERRO DE APROXIMAÇÃO: | 24.470288764308133
| ÉPOCA: | 194 | ERRO DE APROXIMAÇÃO: | 24.346262290869223
| ÉPOCA: | 195 | ERRO DE APROXIMAÇÃO: | 24.22349619066224
| ÉPOCA: | 196 | ERRO DE APROXIMAÇÃO: | 24.101971336232822
| ÉPOCA: | 197 | ERRO DE APROXIMAÇÃO: | 23.981668984975244
| ÉPOCA: | 198 | ERRO DE APROXIMAÇÃO: | 23.86257076951072
| ÉPOCA: | 199 | ERRO DE APROXIMAÇÃO: | 23.744658688353347
| ÉPOCA: | 200 | ERRO DE APROXIMAÇÃO: | 23.62791509685211
| ÉPOCA: | 201 | ERRO DE APROXIMAÇÃO: | 23.512322698401015
